ASV,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
ASV001,9356,12275,15795,29897,15141,5249,4682,695,540,30856
ASV002,7607,9609,12539,6107,12441,4440,3832,554,461,24224
ASV003,2810,1555,2844,1061,418,10634,8772,487,920,144
ASV004,1874,2678,3833,848,292,8017,6679,408,662,0
ASV005,2288,1338,2299,943,379,8683,7324,390,904,0
ASV006,1724,2153,3323,764,250,6508,5289,317,776,119
ASV007,11,0,0,0,30,0,0,8937,9546,0
ASV008,466,86,131,0,142,125,99,5479,5890,70
ASV009,1098,1243,1842,457,195,2868,2176,7120,85,0
ASV010,395,62,82,76,0,0,77,8414,4725,0
ASV011,85,44,76,0,3771,2809,98,117,0,34
ASV012,1598,2562,1864,0,97,43,49,45,60,0
ASV013,1347,1973,1474,64,82,0,0,0,0,0
ASV014,395,444,656,268,593,204,195,71,35,1251
ASV015,330,390,535,232,467,156,147,60,37,969
ASV016,136,263,324,132,211,202,193,428,366,456
ASV017,117,216,264,108,206,177,175,317,259,373
ASV018,313,0,8017,0,8017,138,0,616,298,0
ASV019,957,0,0,0,0,0,0,0,19,0
ASV020,183,0,0,0,0,76,74,241,346,0
ASV021,143,0,0,0,0,0,0,296,457,0
ASV022,0,0,0,0,0,0,0,402,427,0
ASV023,150,75,83,65,244,0,0,0,0,169
ASV024,0,0,0,0,145,161,263,197,0,0
ASV025,0,0,0,0,0,0,0,368,320,0
ASV026,106,0,0,0,133,111,0,96,69,50
ASV027,0,96,118,0,0,44,0,0,0,230
ASV028,0,0,71,29,0,64,70,0,102,108
ASV029,135,69,64,0,0,0,46,0,0,91
ASV030,111,129,95,0,0,0,0,0,0,0
ASV031,0,0,0,0,0,136,84,25,0,0
ASV032,97,125,0,0,5,0,0,0,0,12
ASV033,63,86,80,0,0,0,0,0,0,0
ASV034,46,67,64,0,0,0,0,0,0,0
ASV035,0,146,0,0,0,0,0,0,0,0
ASV036,14,0,0,0,0,4,0,75,37,0
ASV037,52,0,0,0,0,0,0,0,45,0
ASV038,96,0,0,0,0,0,0,0,0,0
ASV039,25,35,31,0,1,0,0,0,0,0
ASV040,22,29,25,0,0,0,0,0,0,0
ASV041,17,34,23,0,0,0,0,0,0,0
ASV042,22,22,18,0,2,0,0,0,0,0
ASV043,0,0,0,0,0,0,0,57,0,0
ASV044,0,0,57,0,0,0,0,0,0,0
ASV045,0,0,0,0,0,57,0,0,0,0
ASV046,0,0,0,0,56,0,0,0,0,0
ASV047,0,0,0,0,0,0,0,0,55,0
ASV048,0,55,0,0,0,0,0,0,0,0
ASV049,0,0,0,0,0,0,0,0,0,54
ASV050,0,0,0,0,53,0,0,0,0,0
ASV051,0,52,0,0,0,0,0,0,0,0
ASV052,0,0,0,0,0,0,0,0,0,51
ASV053,0,0,0,0,49,0,0,0,0,0
ASV054,48,0,0,0,0,0,0,0,0,0
ASV055,0,0,0,0,0,47,0,0,0,0
ASV056,0,0,0,0,0,0,0,0,46,0
ASV057,0,0,0,0,0,0,0,45,0,0
ASV058,44,0,0,0,0,0,0,0,0,0
ASV059,19,24,0,0,0,0,0,0,0,0
ASV060,0,0,0,0,0,43,0,0,0,0
ASV061,0,0,0,0,0,43,0,0,0,0
ASV062,0,0,0,0,0,0,0,0,41,0
ASV063,40,0,0,0,0,0,0,0,0,0
ASV064,0,0,0,0,0,40,0,0,0,0
ASV065,0,0,0,0,0,39,0,0,0,0
ASV066,0,0,0,0,0,39,0,0,0,0
ASV067,0,0,0,0,0,0,0,0,0,38
ASV068,0,0,0,0,0,0,0,37,0,0
ASV069,0,0,0,0,0,36,0,0,0,0
ASV070,0,0,0,0,0,0,0,0,0,35
ASV071,35,0,0,0,0,0,0,0,0,0
ASV072,0,0,0,35,0,0,0,0,0,0
ASV073,0,0,0,0,0,0,35,0,0,0
ASV074,0,0,0,0,0,34,0,0,0,0
ASV075,34,0,0,0,0,0,0,0,0,0
ASV076,0,0,0,34,0,0,0,0,0,0
ASV077,0,0,0,0,0,34,0,0,0,0
ASV078,33,0,0,0,0,0,0,0,0,0
ASV079,0,0,0,30,0,0,0,0,0,0
ASV080,0,0,0,0,0,31,0,0,0,0
ASV081,30,0,0,0,0,0,0,0,0,0
ASV082,0,0,0,15,14,0,0,0,0,0
ASV083,0,0,14,0,0,13,0,2,0,0
ASV084,0,0,0,0,0,27,0,0,0,0
ASV085,26,0,0,0,0,0,0,0,0,0
ASV086,0,0,0,0,0,0,25,0,0,0
ASV087,0,0,0,0,24,0,0,0,0,0
ASV088,0,0,0,0,23,0,0,0,0,0
ASV089,0,0,0,22,0,0,0,0,0,0
ASV090,0,0,0,0,0,0,0,0,21,0
ASV091,0,0,0,0,8,12,0,0,0,0
ASV092,0,0,0,0,0,0,0,0,19,0
ASV093,0,0,0,0,0,0,0,10,0,0
ASV094,0,0,0,0,0,9,0,0,0,0
ASV095,0,2,0,2,0,1,1,1,0,0
ASV096,0,0,0,0,0,3,0,0,0,0
ASV097,2,0,0,0,0,0,0,0,0,0
ASV098,0,0,0,0,0,2,0,0,0,0
ASV099,0,0,0,3,0,0,0,0,0,0
ASV100,0,0,0,3,0,0,0,0,0,0
